meal_id,meal_name,tagline,prep_time,meal_type,tags/0,tags/1,tags/2,ingredients/serving_size,ingredients/list/0/item,ingredients/list/0/quantity,ingredients/list/1/item,ingredients/list/1/quantity,ingredients/list/2/item,ingredients/list/2/quantity,ingredients/list/3/item,ingredients/list/3/quantity,ingredients/list/4/item,ingredients/list/4/quantity,ingredients/list/5/item,ingredients/list/5/quantity,ingredients/list/6/item,ingredients/list/6/quantity,ingredients/list/7/item,ingredients/list/7/quantity,method/0,method/1,method/2,nutrition/serving_unit,nutrition/summary,nutrition/details/Calories,nutrition/details/Protein,nutrition/details/Carbs,nutrition/details/Fiber,nutrition/details/Fat,nutrition/details/Saturated_Fat,nutrition/details/Sugars,nutrition/details/Sodium,why_this_meal,ingredients/list/8/item,ingredients/list/8/quantity,ingredients/list/9/item,ingredients/list/9/quantity,method/3,ingredients/list/10/item,ingredients/list/10/quantity,ingredients/list/11/item,ingredients/list/11/quantity,ingredients/list/12/item,ingredients/list/12/quantity,ingredients/list/13/item,ingredients/list/13/quantity,method/4,ingredients/list/14/item,ingredients/list/14/quantity,ingredients/list/15/item,ingredients/list/15/quantity,ingredients/list/16/item,ingredients/list/16/quantity,ingredients/list/17/item,ingredients/list/17/quantity,method/5
B-0024,Chickpea Shakshuka (Egg & Chickpea Stew),Spiced Morning One-Pan Meal,20 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving (without bread),Eggs,2 large,Chickpeas,"1/2 cup (cooked or canned, drained)",Crushed tomatoes,"1 cup (from can, or use fresh tomatoes chopped)",Red bell pepper,"1/2 small pepper, sliced thin",Yellow onion,"1/4, diced",Garlic,"2 cloves, minced",Olive oil,1 tbsp,Ground cumin,1/2 tsp,step 1: Sauté onion and pepper. Add garlic/spices; stir 30 seconds.,step 2: Add crushed tomatoes/chickpeas; simmer 5 minutes.,"step 3: Make 2 wells, crack eggs in, cover, and cook 5–6 minutes.",per 1 serving (without bread),"Approx 350 Calories, 18g Protein, 10g Fiber. High protein/fiber content with lycopene antioxidants for recovery.",350 kcal,18 g,38 g,10 g,14 g,3 g,10 g,350 mg,"Provides **~18g protein** (eggs + chickpeas) for muscle recovery. Tomato sauce is rich in **lycopene, an antioxidant that combats inflammation**. Spices/chickpeas provide **vitamin B6**, involved in melatonin production for better sleep cycles. **Fiber (~10g)** aids digestion and feeds gut bacteria.",Smoked paprika,1/2 tsp,Chili flakes,"a pinch (optional, for heat)",step 4: Garnish with parsley/cilantro and enjoy hot.,Salt and pepper,to taste,Fresh parsley or cilantro,"2 tbsp, chopped (for garnish)",,,,,,,,,,,,,,
B-0025,Mango Ginger Protein Lassi,Tropical Probiotic Smoothie,5 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Mango,1/2 cup ripe mango chunks (fresh or frozen),Greek yogurt or kefir,1/2 cup (plain),Protein powder (unflavored or vanilla),1 scoop (~20 g protein),Almonds,6 whole (or 2 tbsp slivered almonds),Fresh ginger,"1/2 inch piece, peeled",Ground turmeric,"1/4 tsp (optional, boosts anti-inflammatory power)",Water,1/4 cup (or as needed to adjust consistency),Ice,a few cubes (especially if using fresh mango),"step 1: Blend mango, yogurt, protein powder, almonds, ginger, turmeric (opt), water, and ice until smooth.",step 2: Taste and blend in honey if needed.,step 3: Pour and drink cold.,per 1 serving,"Approx 300 Calories, 25g Protein, 3g Fiber. High in protein, probiotics, and anti-inflammatory compounds.",300 kcal,25 g,30 g,3 g,8 g,2.5 g,18 g,100 mg,"Supercharged with **~25g protein** to help repair muscles. **Ginger and turmeric are a powerful anti-inflammatory duo** that reduce muscle soreness. Greek yogurt/Kefir supplies **probiotics** for gut health. Mango provides **Vitamin C** for immune support, and almonds supply **magnesium** for restorative sleep.",Honey,"1 tsp (optional, if extra sweetness is desired)",,,,,,,,,,,,,,,,,,,,,
B-0026,Chocolate Berry Chia Pudding,Overnight Omega-3 Breakfast,5 minutes (plus overnight refrigeration),Breakfast,Better Sleep,Recovery,Energy,1 serving,Chia seeds,3 tbsp,Milk (dairy or plant-based),3/4 cup,Cocoa powder,1 tbsp (unsweetened),Vanilla extract,1/4 tsp (optional),Honey or maple syrup,2 tsp (for sweetness),Greek yogurt,"2 tbsp (optional, for extra protein and creaminess)",Mixed berries,"1/2 cup (e.g., raspberries, strawberries, or blueberries)",Almonds or walnuts,"1 tbsp, chopped (for topping)","step 1: Stir together chia seeds, milk, cocoa, vanilla, honey, and yogurt (optional).",step 2: Cover and refrigerate overnight (at least 4 hours) until thick.,step 3: Stir well and top with mixed berries and chopped nuts.,per 1 serving,"Approx 300 Calories, 12g Protein, 10g Fiber. Nutrient-dense, offering Omega-3s, fiber, and anti-inflammatory cocoa.",300 kcal,12 g,30 g,10 g,15 g,3.5 g,12 g,75 mg,Chia seeds are packed with **Omega-3s and ~10g fiber** to tame inflammation and aid digestion. **Magnesium in chia/cocoa/nuts** supports relaxation and healthy sleep cycles. Cocoa provides **polyphenols** with anti-inflammatory effects. Greek yogurt adds **protein and probiotics**.,,,,,,,,,,,,,,,,,,,,,,,
B-0027,Veggie & Black Bean Breakfast Quesadilla,Fiber-Filled Morning Quesadilla,15 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Whole-grain tortilla,1 large (10-inch) or 2 smaller (taco-size),Egg whites,2 (or use 1 whole egg + 1 egg white for more flavor),Black beans,"1/4 cup (cooked or canned, rinsed)",Red onion,"2 tbsp, finely chopped",Green bell pepper,"1/4 cup, diced",Cheddar or Monterey Jack cheese,"2 tbsp, shredded (use a modest amount for flavor; can sub with plant-based cheese if desired)",Olive oil,1 tsp (for cooking),Cumin,1/4 tsp,step 1: Sauté onion and pepper. Stir in black beans and cumin. Scramble with egg whites/egg.,step 2: Place scramble and cheese over half of a warmed tortilla; fold.,step 3: Cook in a dry pan for ~2 minutes per side until golden/melted.,per 1 serving (with salsa & yogurt),"Approx 400 Calories, 20g Protein, 8g Fiber. A satisfying way to pack in protein and fiber at the start of your day.",400 kcal,20 g,45 g,8 g,14 g,5 g,6 g,450 mg,Provides **~20g protein** (egg whites + black beans) for muscle repair. **Black beans/tortilla provide ~8g fiber** for gut health and lasting energy. Greek yogurt adds **probiotics** while keeping saturated fat low. The balanced macros help **stabilize blood sugar and cortisol levels** on under-recovered days.,Salt and pepper,to taste,Salsa,"2 tbsp (to serve, adds antioxidants and spice)",step 4: Cut into wedges; serve with salsa and Greek yogurt.,Greek yogurt,2 tbsp (to serve as a high-protein sour cream substitute),,,,,,,,,,,,,,,,
S-0015,Herbed Yogurt Dip with Veggies,Probiotic Ranch Remix,5 minutes,Snacks,Better Performance,Recovery,Energy,1 serving,Greek yogurt,1/2 cup (plain),Garlic,"1 small clove, minced",Dried dill,"1/2 tsp (or 1 tsp fresh dill, chopped)",Dried parsley,"1/2 tsp (or 1 tsp fresh, chopped)",Onion powder,1/4 tsp,Salt and pepper,to taste (a pinch of each),Assorted raw veggies for dipping,"e.g., carrot sticks, cucumber slices, bell pepper strips, celery (about 1.5 cups total)",,,"step 1: Combine Greek yogurt, minced garlic, dill, parsley, and onion powder. Mix well, seasoning to taste.",step 2: Enjoy the high-protein dip (makes about 1/2 cup) with a platter of crunchy raw vegetables.,,per 1 serving,"Approx 150 Calories, 12g Protein, 5g Fiber. Low-calorie, high-satiety snack packed with probiotics and fiber.",150 kcal,12 g,18 g,5 g,2 g,1 g,10 g,150 mg,"Greek yogurt provides **~12g protein and probiotics** that reinforce the gut and aid recovery. Crunchy vegetables contribute vitamins, hydration, and **fiber**. **Garlic adds allicin** to bolster immunity. **Blood-sugar friendly** profile provides steady energy and prevents afternoon crashes.",,,,,,,,,,,,,,,,,,,,,,,
S-0016,Matcha Coconut Energy Balls,Antioxidant Green Tea Bites,15 minutes (plus 30 min chilling),Snacks,Energy,Better Performance,Recovery,2 balls (Recipe makes ~6 balls),Rolled oats,1/2 cup,Almond butter,2 tbsp (or cashew butter),Protein powder,1 scoop (~20 g) vanilla or unflavored,Honey,1 tbsp (acts as binder and sweetener),Matcha green tea powder,1 tsp (culinary grade),Shredded unsweetened coconut,2 tbsp (plus extra for rolling),Chia seeds,"1 tsp (adds crunch, omega-3s, and fiber)",Water,"1–2 tsp, if needed to bind","step 1: Mix oats, powders, coconut, and chia. Add almond butter and honey; mix thoroughly to form a thick dough.",step 2: Roll into ~6 bite-sized balls (opt. coat in coconut).,step 3: Refrigerate for at least 30 minutes to firm up.,per 2-ball serving,"Approx 220 Calories, 10g Protein, 4g Fiber. Gentle pick-me-up with complex carbs and anti-inflammatory compounds.",220 kcal,10 g,20 g,4 g,11 g,4 g,8 g,75 mg,"**Matcha's EGCG antioxidant** improves focus; **slow-release caffeine** offers steady alertness without jitters. Provides **~10g protein** and complex carbs for recovery. Coconut and chia add **omega-3s** and fats with **anti-inflammatory properties**. **Fiber** stabilizes blood sugar, supporting steady performance.",,,,,step 4: Enjoy 1–2 balls per snack; keep leftovers refrigerated.,,,,,,,,,,,,,,,,,,
S-0017,Cherry Almond Recovery Shake,Antioxidant Recovery Shake,5 minutes,Snacks,Recovery,Better Sleep,Energy,1 serving,Tart cherry juice,"1/2 cup (100% unsweetened, or use 1 cup frozen tart cherries)",Almond milk,1/2 cup (unsweetened),Greek yogurt,1/4 cup (adds protein and probiotics),Almond butter,1 tbsp,Protein powder (optional),1/2 scoop (~10 g protein; vanilla flavor works well),Flaxseed,"1 tsp (ground, for omega-3 and fiber)",Cinnamon,"a pinch (optional, for flavor and blood sugar control)",Ice,a few cubes (if using juice rather than frozen fruit),"step 1: Add all ingredients (cherry juice, milk, yogurt, almond butter, powder (opt), flaxseed, cinnamon, ice) to the blender.",step 2: Blend on high until smooth and creamy. Adjust with liquid/ice if needed.,step 3: Pour and enjoy cold immediately.,per 1 serving,"Approx 250 Calories, 15g Protein, 4g Fiber. Specialized post-workout fuel with natural melatonin and anti-inflammatory compounds.",250 kcal,15 g,30 g,4 g,10 g,2.5 g,18 g,100 mg,"**Tart cherries anthocyanins reduce muscle soreness** and strength loss. Supplies **~15g protein** and carbs for glycogen/muscle repair. Cherries are a natural source of **melatonin**, potentially assisting sleep quality. Flaxseed adds **omega-3 fatty acids** to fight inflammation, and yogurt provides **probiotics**.",,,,,,,,,,,,,,,,,,,,,,,
S-0018,Turmeric Ginger Bone Broth (Sip),Warm Anti-Inflammatory Elixir,5 minutes,Snacks,Recovery,Better Sleep,Better Performance,1 serving,Bone broth (chicken or beef),"1 cup (choose a low-sodium, high-collagen variety)",Fresh ginger,3–4 slices (or 1/4 tsp ground ginger),Ground turmeric,1/4 tsp,Black pepper,pinch (enhances turmeric absorption),Lemon juice,"1 tsp (optional, for taste and vitamin C)",Salt,"to taste (if needed, bone broth is usually salted)",,,,,step 1: Heat bone broth with ginger slices to a gentle simmer for 3–5 minutes to infuse.,step 2: Turn off heat; stir in turmeric and a pinch of black pepper (boosts absorption).,step 3: Strain (opt); add lemon (opt). Sip slowly while warm.,per 1 serving,"Approx 40 Calories, 8g Protein, 1g Carbs. Functional drink rich in collagen and anti-inflammatory spices.",40 kcal,8 g,1 g,0 g,1 g,0.5 g,0 g,150 mg,"Bone broth supplies **collagen protein (~8g)** for tissue healing and **glycine** for relaxation and better sleep latency. Enhanced with **turmeric/ginger, a potent anti-inflammatory duo** that reduces muscle soreness. **Black pepper boosts curcumin absorption**. Promotes recovery and better sleep.",,,,,,,,,,,,,,,,,,,,,,,
S-0019,Sleepytime Protein Hot Cocoa,Evening Cocoa with Benefits,5 minutes,Snacks,Better Sleep,Recovery,Energy,1 serving,Milk,1 cup (dairy or fortified almond milk; dairy has more tryptophan for sleep),Unsweetened cocoa powder,1 tbsp,Collagen peptide powder,"1 scoop (~10 g protein, optional; it dissolves easily)",Honey,1 tsp (or to taste; or use stevia for no added sugar),Vanilla extract,"1/8 tsp (a couple drops, optional)",Cinnamon,"a pinch (optional, for flavor)",,,,,step 1: Gently heat milk until steaming (avoid boiling).,step 2: Whisk in cocoa and collagen powder (opt) until dissolved.,"step 3: Stir in honey, vanilla, and cinnamon.",per serving with dairy milk and collagen,"Approx 170 Calories, 12g Protein, 18g Carbs. Low-sugar bedtime snack supporting muscle recovery and stable blood sugar.",170 kcal,12 g,18 g,2 g,6 g,4 g,15 g,100 mg,"Provides **~12g protein (collagen/milk)** for overnight muscle repair. Warm milk and cocoa contain **tryptophan and magnesium** that promote relaxation and enhance sleep quality. **Low glycemic load** helps **stabilize blood sugar**, preventing sleep disturbances. Collagen peptides are **gut-friendly**.",,,,,step 4: Sip slowly about 30–60 minutes before bed.,,,,,,,,,,,,,,,,,,
S-0020,Crispy Tofu Bites with Chili Dip,Plant Protein Popcorn “Chicken”,20 minutes,Snacks,Recovery,Better Performance,Energy,1 serving,Firm tofu,"4 oz (about 1/4 of a typical block), pressed to remove water",Whole wheat flour or cornstarch,2 tbsp (for coating),Garlic powder,1/4 tsp,Paprika,1/4 tsp,Salt and pepper,a pinch of each,Olive oil,2 tsp (for baking or pan-frying),Simple Chili Yogurt Dip: Greek yogurt,2 tbsp,Simple Chili Yogurt Dip: hot sauce,1 tsp (or to taste),step 1: Cut pressed tofu into cubes; toss with flour/cornstarch and spices.,step 2: Bake at 400°F for ~15 mins (flipping) or pan-fry until crispy.,"step 3: Mix Greek yogurt, hot sauce, lime, and salt for a high-protein dip.",per 1 serving,"Approx 200 Calories, 14g Protein, 2g Fiber. Savory, high-protein snack for recovery without the heavy fat of frying.",200 kcal,14 g,16 g,2 g,8 g,2.5 g,4 g,150 mg,Tofu provides **~14g complete plant protein** and is rich in **calcium/iron** (key for muscle function/energy). **Greek yogurt dip adds extra protein/probiotics**. Chili **stimulates metabolism/endorphins** for a pick-me-up. Light preparation and high protein/low-carb profile ensures steady energy.,Simple Chili Yogurt Dip: a squeeze of lime,,Simple Chili Yogurt Dip: pinch of salt,,"step 4: Enjoy tofu bites warm, dunking into the dip.",,,,,,,,,,,,,,,,,,
S-0021,Edamame Avocado Dip,High-Protein Green Hummus,10 minutes,Snacks,Recovery,Energy,Better Performance,"1 serving (for 1/2 of the batch, not including dippers)",Edamame (soybeans),"1/2 cup (cooked and shelled, can use frozen edamame thawed)",Avocado,1/4 of a large avocado,Greek yogurt,2 tbsp (plain),Garlic,"1 clove, minced",Lemon juice,1 tbsp (fresh),Fresh cilantro or parsley,2 tbsp,Cumin,1/4 tsp,Salt,a pinch (to taste),"step 1: Blend edamame, avocado, yogurt, garlic, lemon juice, herbs, cumin, and salt until smooth.",step 2: Add olive oil (opt); blend; add water if too thick.,step 3: Taste and adjust seasoning/lemon as needed.,"per 1 serving (1/2 of the batch, not including dippers)","Approx 180 Calories, 9g Protein, 5g Fiber. A green super-dip high in plant protein, healthy fats, and magnesium/potassium.",180 kcal,9 g,14 g,5 g,9 g,2.5 g,4 g,150 mg,"Edamame provides **~9g complete plant protein** for muscle repair. **Avocado adds healthy fats and potassium/magnesium**, which support better sleep. Greek yogurt adds **probiotics**. **Fiber (~5g)** stabilizes blood sugar. High protein/low refined carbs make it **ideal for recovery and energy stability**.",Olive oil,"1 tsp (optional, for smoother texture)",For dipping,"Cucumber slices, cherry tomatoes, bell pepper strips, or whole-grain crackers.",step 4: Serve the dip with fresh veggie sticks or crackers.,,,,,,,,,,,,,,,,,,
S-0022,Smoked Salmon Cucumber Bites,Omega-3 Protein Bites,5 minutes,Snacks,Recovery,Better Performance,Energy,1 serving (~6 bites),Smoked salmon,2 oz (about 2 slices),Cucumber,"1 medium, cut into 1/2-inch thick rounds",Creamy cottage cheese or Greek yogurt,2 tbsp (cottage cheese curds or thick yogurt to dollop),Fresh dill,for garnish (optional),Black pepper,a pinch,Lemon zest,"a pinch (optional, adds zing)",,,,,step 1: Lay out cucumber rounds (pat dry).,step 2: Dollop cottage cheese/yogurt; top with torn smoked salmon.,"step 3: Garnish with black pepper, lemon zest, and dill.",per 1 serving (all bites),"Approx 150 Calories, 14g Protein, 1g Fiber. Low-carb, high-satiety snack rich in Omega-3s and Vitamin D.",150 kcal,14 g,6 g,1 g,7 g,3 g,4 g,600 mg,"Salmon is loaded with **anti-inflammatory Omega-3s (DHA/EPA)** to support muscle recovery and improve HRV. Provides **~14g protein in ~150 calories** for muscle repair and satiety. Greek yogurt/cottage cheese adds extra **protein/probiotics**. **Protein/fat keep blood sugar stable**, avoiding energy slumps.",,,,,step 4: Enjoy immediately for best crunch.,,,,,,,,,,,,,,,,,,
S-0023,Deviled Eggs with Greek Yogurt,Protein-Rich Deviled Eggs,15 minutes,Snacks,Recovery,Better Performance,Energy,1 serving (2 deviled egg halves),Eggs,1 large (hard-boiled),Greek yogurt,"1 tbsp (plain, this replaces mayo)",Dijon mustard,1/2 tsp,Turmeric powder,"a pinch (optional, adds golden color and anti-inflammatory perk)",Salt and pepper,to taste (a tiny pinch of each),Paprika,"a dash (for garnish, traditional deviled egg touch)",Fresh chives or parsley,"1 tsp, chopped (for garnish, optional)",,,step 1: Hard-boil egg (8-10 mins); cool and peel.,"step 2: Scoop out yolk; mash with Greek yogurt, mustard, and turmeric (opt) until creamy.",step 3: Spoon filling back into egg white halves.,per 2 deviled halves,"Approx 80 Calories, 7g Protein, 0g Fiber. Low-calorie, high-satiety protein snack; yogurt replaces high-fat mayo.",80 kcal,7 g,1.5 g,0 g,5 g,2 g,1 g,120 mg,Provides **~7g complete protein** for muscle repair. Greek yogurt cuts fat and adds **probiotics**. **Turmeric adds curcumin's anti-inflammatory benefits**. Eggs are rich in **choline** for cognitive function. **Low-carb** nature ensures stable blood sugar.,,,,,step 4: Garnish with paprika/chives; serve.,,,,,,,,,,,,,,,,,,
S-0024,Apple Cinnamon Protein Muffins,Whole-Grain Protein Muffins,30 minutes (includes baking),Snacks,Energy,Recovery,Better Performance,2 muffins (Recipe makes 4 small muffins),Oat flour,1/2 cup (or whole wheat flour),Vanilla protein powder,1/4 cup (about 1 scoop),Egg,1 large,Unsweetened applesauce,1/4 cup (adds moisture and natural sweetness),Grated apple,"1/4 cup (about half a small apple, for texture; squeeze excess juice)",Baking powder,1/2 tsp,Cinnamon,1/2 tsp,Nutmeg,a pinch (optional),step 1: Preheat oven to 350°F; line 4 muffin cups.,"step 2: Mix dry ingredients. Whisk egg, applesauce, honey, and milk separately.",step 3: Combine wet/dry; fold in grated apple/walnuts (opt).,per 2-muffin serving,"Approx 220 Calories, 14g Protein, 4g Fiber. Lower-sugar muffin with protein and whole grains for sustained energy.",220 kcal,14 g,28 g,4 g,6 g,1.5 g,12 g,200 mg,Provides **~14g protein** and **~4g fiber** (oat flour/apple) for muscle recovery and satiety. **Cinnamon improves blood sugar control** for stable energy. Walnuts add **magnesium and omega-3s** (ALA) to reduce inflammation and support better sleep quality. Great for pre-workout fuel or avoiding energy crashes.,Salt,a pinch,Honey or maple syrup,1 tbsp (for a touch of sweetness),step 4: Divide batter; bake 18–22 minutes until done.,Milk,"2 tbsp (dairy or almond milk, to moisten batter as needed)",Walnuts,"2 tbsp, chopped (optional, mix-in for healthy fats and crunch)",,,,,step 5: Enjoy 2 muffins warm/room temp; store extras.,,,,,,,,,
S-0025,Tamari Turmeric Roasted Almonds,Anti-Inflammatory Crunch,20 minutes (includes roasting),Snacks,Recovery,Better Performance,Energy,1 serving – about 1/4 cup almonds,Raw almonds,1/4 cup,Tamari (low-sodium soy sauce),1 tsp,Olive oil,1/2 tsp,Ground turmeric,1/4 tsp,Garlic powder,1/8 tsp (a pinch),Black pepper,a pinch (enhances turmeric benefits),Cayenne pepper,"a tiny pinch (optional, for a bit of heat)",,,step 1: Preheat oven to 300°F; line baking sheet.,"step 2: Toss almonds with tamari, olive oil, turmeric, garlic powder, and pepper.",step 3: Roast 12–15 minutes (stirring once) until fragrant and toasted.,per 1 serving,"Approx 180 Calories, 6g Protein, 4g Fiber. Nutrient-dense with strong anti-inflammatory properties and high magnesium.",180 kcal,6 g,6 g,4 g,15 g,2 g,2 g,120 mg,"**Turmeric's curcumin is a potent anti-inflammatory; black pepper boosts its absorption** significantly. Almonds supply **magnesium (20% DV)**, supporting muscle relaxation and **improved sleep quality**. Tamari adds **sodium** for electrolyte replenishment. Protein/healthy fats ensure **stable blood sugar** for long-lasting energy.",,,,,step 4: Cool completely; enjoy as a crunchy snack.,,,,,,,,,,,,,,,,,,
S-0026,Blueberry Kefir Popsicles,Frozen Probiotic Treats,10 minutes (plus freezing time ~4 hours),Snacks,Better Sleep,Recovery,Energy,1 pop (Recipe makes 4 small popsicles),Blueberries,1 cup (fresh or frozen),Kefir,"1/2 cup (plain kefir, a fermented milk drink)",Greek yogurt,1/4 cup (plain),Honey,"2 tsp (or sweetener of choice, adjust to taste)",Lemon zest,"1/4 tsp (from organic lemon, optional for brightness)",Vanilla extract,1/4 tsp (optional),,,,,"step 1: Blend blueberries, kefir, yogurt, honey, lemon zest, and vanilla until smooth.",step 2: Pour into 4 popsicle molds/cups.,step 3: Freeze for at least 4 hours until solid.,per 1 popsicle,"Approx 50 Calories, 2g Protein, 1g Fiber. Low-calorie treat delivering billions of probiotics and antioxidants.",50 kcal,2 g,9 g,1 g,1 g,0.5 g,6 g,20 mg,Kefir and Greek yogurt deliver billions of **probiotics** for gut health and reduced inflammation. Blueberries add **anthocyanin antioxidants** to combat oxidative stress. **Low in added sugar**; provides compounds (tryptophan/melatonin) that may assist **better sleep**. Provides a bit of **casein protein** for overnight muscle repair.,,,,,step 4: Run under warm water to release; enjoy.,,,,,,,,,,,,,,,,,,
S-0027,Cinnamon Stewed Apples with Yogurt,Gut-Soothing Dessert Bowl,10 minutes,Snacks,Better Sleep,Recovery,Energy,1 serving,Apple,1 medium (cored and chopped into small chunks; a sweet-tart variety like Honeycrisp or Granny Smith works well),Water,2 tbsp,Cinnamon,1/2 tsp,Ground ginger,1/8 tsp (optional),Raisins,"1 tbsp (optional, for extra natural sweetness and iron)",Greek yogurt,1/2 cup (plain; or use vanilla if you prefer sweeter),Walnuts,"1 tbsp, chopped (for topping, optional)",Honey,"1 tsp (drizzle on top, optional if apples and raisins aren’t sweet enough)","step 1: Stew chopped apple, water, cinnamon, and ginger/raisins (opt) covered for ~5 minutes until tender.",step 2: Cool slightly.,"step 3: Top Greek yogurt with warm apples, walnuts, and optional honey drizzle.",per 1 serving,"Approx 200 Calories, 10g Protein, 4g Fiber. Gut-soothing evening treat that is easy to digest and helps stabilize blood sugar.",200 kcal,10 g,32 g,4 g,5 g,2 g,22 g,40 mg,"Stewing apples makes the fiber **easier to digest** for the gut, avoiding sleep-disrupting bloating. **Cinnamon regulates blood sugar**, and ginger calms the GI tract. Greek yogurt provides **~10g protein and probiotics** for muscle/gut support. Walnuts add **magnesium and omega-3s** for **sleep quality**.",,,,,,,,,,,,,,,,,,,,,,,
S-0028,Chocolate Avocado Protein Mousse,Creamy Gut-Healthy Pudding,10 minutes (plus chilling time),Snacks,Recovery,Better Sleep,Better Performance,1 serving (without yogurt topping),Ripe avocado,1/2 of a medium avocado,Banana,1/2 of a ripe banana (for sweetness and creaminess; can use 1–2 dates instead),Cocoa powder,1.5 tbsp (unsweetened),Protein powder,"1/2 scoop (~10 g, chocolate or unflavored)",Milk (or almond milk),2 tbsp (to blend; adjust for texture),Vanilla extract,1/4 tsp,Honey or maple syrup,"1 tsp (optional, for extra sweetness if needed)",Greek yogurt,2 tbsp (optional swirl on top or mix in for tang and probiotics),"step 1: Blend avocado, banana, cocoa, protein powder, vanilla, and milk until smooth/silky.",step 2: Chill 20–30 minutes to firm up and deepen flavors.,step 3: Serve with optional Greek yogurt swirl and berries.,per 1 serving (without yogurt topping),"Approx 250 Calories, 12g Protein, 8g Fiber. Stealth superfood dessert high in magnesium and healthy fats.",250 kcal,12 g,24 g,8 g,13 g,2.5 g,12 g,50 mg,"Avocado is high in **magnesium and fiber**, key for muscle relaxation and **quality sleep**. Provides **~12g protein** and healthy fats to aid tissue repair. Cocoa adds **flavonoids** to improve blood flow. High fiber/fat ensures a **sleep-friendly, stable blood sugar**.",Berries,"a few, for topping (e.g., raspberries or strawberries)",,,,,,,,,,,,,,,,,,,,,
LD-0015,Chicken & Broccoli Peanut Stir-Fry,Lean Muscle Stir-Fry with Healthy Fats,25 minutes,Lunch/Dinner,Recovery,Better Performance,Energy,1 serving (Recipe makes 2 servings),Chicken breast,"8 oz (skinless, boneless, cut into bite-sized pieces) - for 2 servings",Broccoli,2 cups florets - for 2 servings,Carrot,"1 large, sliced thin on the diagonal - for 2 servings",Red bell pepper,"1, sliced - for 2 servings",Garlic,"3 cloves, minced - for 2 servings",Fresh ginger,"1 inch, grated - for 2 servings",Peanut Sauce: Natural peanut butter,2 tbsp - for 2 servings,Peanut Sauce: Low-sodium soy sauce,2 tbsp - for 2 servings,"step 1: Whisk peanut butter, soy sauce, honey, vinegar, sesame oil, and water for sauce.",step 2: Stir-fry chicken; remove.,"step 3: Stir-fry vegetables, garlic, and ginger until crisp-tender.",per 1 serving (with 3/4 cup brown rice),"Approx 480 Calories, 38g Protein, 7g Fiber. Excellent macro balance with anti-inflammatory ginger and healthy fats.",480 kcal,38 g,45 g,7 g,18 g,4 g,12 g,600 mg,"Delivers **~38g lean protein** for muscle repair. **Ginger and garlic** are potent **anti-inflammatory agents** proven to reduce muscle pain. Veggies provide antioxidants to quench **oxidative stress**. Peanuts supply **magnesium**, associated with improved sleep/muscle relaxation. **Brown rice/fiber** refill glycogen with stable energy.",Peanut Sauce: Honey,1 tsp - for 2 servings,Peanut Sauce: Rice vinegar or lime juice,1 tbsp - for 2 servings,step 4: Return chicken; add sauce; toss for 1-2 minutes to coat and thicken.,Peanut Sauce: Sesame oil,1 tsp (optional) - for 2 servings,Peanut Sauce: Water,2–3 tbsp (to thin sauce) - for 2 servings,Olive or avocado oil,1 tbsp (for stir-frying) - for 2 servings,Crushed peanuts,"1 tbsp (for garnish, optional) - for 2 servings",step 5: Serve over rice/quinoa; garnish with peanuts/cilantro.,Cilantro,"a handful, chopped (for garnish, optional) - for 2 servings",Cooked brown rice or quinoa,"2 servings (about 1.5 cups cooked, for serving alongside) - for 2 servings",,,,,
LD-0016,White Chicken & Bean Chili,Lean White Chili for Recovery,35 minutes,Lunch/Dinner,Recovery,Better Performance,Better Sleep,1 serving (Recipe makes 4 servings),Chicken breast or tenderloins,"1 lb, cut into bite-size chunks - for 4 servings",Great Northern or cannellini beans,"2 cans (15 oz each), drained and rinsed - for 4 servings",Onion,"1 medium, diced - for 4 servings",Garlic,"4 cloves, minced - for 4 servings",Green chilies,"1 small can (4 oz), diced (mild or hot to preference) - for 4 servings",Chicken broth,2 cups (low-sodium) - for 4 servings,Cumin,1 tsp - for 4 servings,Oregano,1 tsp (dried) - for 4 servings,step 1: Sear seasoned chicken in oil; remove.,step 2: Sauté onion/garlic in same pot.,"step 3: Return chicken; add beans, chilies, spices, and broth; simmer 15–20 minutes.",per 1 serving (without optional sides),"Approx 350 Calories, 35g Protein, 10g Fiber. Excellent low-fat, high-fiber recovery package rich in magnesium and iron.",350 kcal,35 g,40 g,10 g,6 g,1.5 g,6 g,400 mg,"Delivers **~35g protein** and **10g fiber** for muscle repair and stable blood sugar. White beans are rich in **magnesium, iron, and folate** (micronutrients depleted by strain). **Chili powder capsaicin** reduces inflammation. Optional Greek yogurt adds **probiotics**. Lighter fat content **improves sleep quality**.",Chili powder,"1 tsp (optional, for more heat/flavor; note this will make it less “white”) - for 4 servings",Corn (optional),1 cup (frozen or canned) - for 4 servings,step 4: Adjust seasoning/thickness.,Olive oil,1 tbsp - for 4 servings,Salt & pepper,to taste - for 4 servings,Toppings (optional): Fresh cilantro,optional - for 4 servings,Toppings (optional): Greek yogurt or light sour cream,(for serving) - for 4 servings,step 5: Serve topped with Greek yogurt (probiotics) and cilantro/lime.,Toppings (optional): a squeeze of lime,optional - for 4 servings,,,,,,,
